Description of property,Date acquired,Date sold,Sales price,Cost,Code(s),Amount of adjustment,Gain (Loss),Holding period
Description of property,Date acquired,Date sold,Sales price,Cost,Code(s),Amount of adjustment,Gain (Loss),Holding period
